MedDRA Code	PT	SOC
10003033	Application site anaesthesia	General disorders and administration site conditions
10003035	Application site atrophy	General disorders and administration site conditions
10003036	Application site dermatitis	General disorders and administration site conditions
10003041	Application site erythema	General disorders and administration site conditions
10003046	Application site irritation	General disorders and administration site conditions
10003048	Application site necrosis	General disorders and administration site conditions
10003050	Application site oedema	General disorders and administration site conditions
10003051	Application site pain	General disorders and administration site conditions
10003053	Application site pruritus	General disorders and administration site conditions
10003054	Application site rash	General disorders and administration site conditions
10003055	Application site reaction	General disorders and administration site conditions
10003059	Application site ulcer	General disorders and administration site conditions
10003060	Application site warmth	General disorders and administration site conditions
10022459	Instillation site pain	General disorders and administration site conditions
10048941	Application site vesicles	General disorders and administration site conditions
10048943	Application site dryness	General disorders and administration site conditions
10049041	Application site infection	Infections and infestations
10049042	Application site inflammation	General disorders and administration site conditions
10049043	Application site papules	General disorders and administration site conditions
10049044	Application site pustules	Infections and infestations
10050099	Application site eczema	General disorders and administration site conditions
10050100	Application site hyperaesthesia	General disorders and administration site conditions
10050101	Application site nodule	General disorders and administration site conditions
10050102	Application site pallor	General disorders and administration site conditions
10050103	Application site paraesthesia	General disorders and administration site conditions
10050104	Application site urticaria	General disorders and administration site conditions
10050114	Application site bruise	General disorders and administration site conditions
10050182	Application site purpura	General disorders and administration site conditions
10052162	Application site discharge	General disorders and administration site conditions
10053424	Application site swelling	General disorders and administration site conditions
10054838	Application site perspiration	General disorders and administration site conditions
10055117	Instillation site irritation	General disorders and administration site conditions
10057881	Application site abscess	Infections and infestations
10058713	Application site mass	General disorders and administration site conditions
10058730	Application site photosensitivity reaction	General disorders and administration site conditions
10059005	Application site discolouration	General disorders and administration site conditions
10059008	Application site scar	General disorders and administration site conditions
10059046	Application site alopecia	General disorders and administration site conditions
10059136	Application site folliculitis	Infections and infestations
10063072	Application site discomfort	General disorders and administration site conditions
10063683	Application site hypersensitivity	General disorders and administration site conditions
10063762	Instillation site erythema	General disorders and administration site conditions
10063763	Instillation site pruritus	General disorders and administration site conditions
10063765	Instillation site reaction	General disorders and administration site conditions
10063769	Instillation site coldness	General disorders and administration site conditions
10063771	Instillation site foreign body sensation	General disorders and administration site conditions
10063772	Instillation site dryness	General disorders and administration site conditions
10063839	Application site induration	General disorders and administration site conditions
10064578	Application site exfoliation	General disorders and administration site conditions
10065059	Application site burn	General disorders and administration site conditions
10065301	Application site cellulitis	Infections and infestations
10065331	Application site fissure	General disorders and administration site conditions
10065577	Application site erosion	General disorders and administration site conditions
10065652	Instillation site discomfort	General disorders and administration site conditions
10065653	Instillation site lacrimation	General disorders and administration site conditions
10066149	Application site odour	General disorders and administration site conditions
10066209	Application site scab	General disorders and administration site conditions
10068317	Application site haematoma	General disorders and administration site conditions
10071163	Instillation site complication	General disorders and administration site conditions
10072640	Application site telangiectasia	General disorders and administration site conditions
10072694	Application site haemorrhage	General disorders and administration site conditions
10073457	Application site acne	General disorders and administration site conditions
10073558	Instillation site paraesthesia	General disorders and administration site conditions
10073601	Instillation site exfoliation	General disorders and administration site conditions
10073602	Instillation site abscess	Infections and infestations
10073603	Instillation site anaesthesia	General disorders and administration site conditions
10073604	Instillation site atrophy	General disorders and administration site conditions
10073605	Instillation site burn	General disorders and administration site conditions
10073606	Instillation site discharge	General disorders and administration site conditions
10073607	Instillation site discolouration	General disorders and administration site conditions
10073608	Instillation site erosion	General disorders and administration site conditions
10073609	Instillation site haematoma	General disorders and administration site conditions
10073610	Instillation site haemorrhage	General disorders and administration site conditions
10073611	Instillation site hyperaesthesia	General disorders and administration site conditions
