Entry	Gene names  (primary )	Gene names  (synonym )
Q9NQ39	RPS10P5	RPS10L
Q99470	SDF2	
Q8N8B7	TCEANC	
Q658L1	SAXO2	FAM154B
O75494	SRSF10	FUSIP1 FUSIP2 SFRS13A TASR
Q9NQ55	PPAN	BXDC3 SSF1
Q8IW03	SIAH3	
Q5HYW3	RTL5	KIAA2001 RGAG4
Q96L92	SNX27	KIAA0488
Q99598	TSNAX	TRAX
Q9H489	TSPY26P	TSPYL3
P49765	VEGFB	VRF
Q96EX3	WDR34	
Q9NYU1	UGGT2	UGCGL2 UGT2
Q8NDW8	TTC21A	STI2
Q5JXB2	UBE2NL	
Q9NRP4	SDHAF3	ACN9
P49815	TSC2	TSC4
Q96FV3	TSPAN17	FBXO23 TM4SF17
O95859	TSPAN12	NET2 TM4SF12
Q05066	SRY	TDF
Q9Y2R5	MRPS17	RPMS17
Q969E3	UCN3	SPC
Q5T1N1	AKNAD1	C1orf62
P17213	BPI	
Q92772	CDKL2	
Q9P0S2	COX16	C14orf112
Q92685	ALG3	NOT NOT56L
P15088	CPA3	
Q96HB5	CCDC120	
O95415	BRI3	
H3BNL1	C3orf84	
P16152	CBR1	CBR CRN SDR21C1
Q9H8M2	BRD9	
Q1T7F1		
P0DN87	CGB7	
P15289	ARSA	
Q8NAV2	C8orf58	
P36575	ARR3	ARRX CAR
Q9HBK9	AS3MT	CYT19
Q6ZSI9	CAPN12	
Q16663	CCL15	MIP5 NCC3 SCYA15
Q68D86	CCDC102B	C18orf14
P59510	ADAMTS20	
P13501	CCL5	D17S136E SCYA5
P84077	ARF1	
Q9NVP2	ASF1B	
A5YM69	ARHGEF35	ARHGEF5L
P28332	ADH6	
Q8WWL7	CCNB3	CYCB3
P05089	ARG1	
P60033	CD81	TAPA1 TSPAN28
P10747	CD28	
P10966	CD8B	CD8B1
P42575	CASP2	ICH1 NEDD2
P23280	CA6	
Q9H5V8	CDCP1	TRASK
Q9BXL8	CDCA4	HEPP
Q8IYS0	GRAMD1C	
Q16790	CA9	G250 MN
P02511	CRYAB	CRYA2 HSPB5
Q5T601	ADGRF1	GPR110 PGR19
Q8NB49	ATP11C	ATPIG ATPIQ
A6NJJ6	C19orf67	
P50052	AGTR2	
Q8IZS7	CLECL1	DCAL1
P14415	ATP1B2	
A6H8M9	CDHR4	CDH29
Q9Y5P2	CSAG2; CSAG3	TRAG3; CSAG3A
Q9HBB8	CDHR5	MUCDHL MUPCDH
P10092	CALCB	CALC2
Q8N157	AHI1	
P98194	ATP2C1	KIAA1347 PMR1L
O75508	CLDN11	OSP OTM
O00512	BCL9	
Q5VTU8	ATP5F1EP2	ATP5EP2
Q9NZT1	CALML5	CLSP
Q9NYV4	CDK12	CRK7 CRKRS KIAA0904
P05496	ATP5MC1	ATP5G1
P07333	CSF1R	FMS
P04141	CSF2	GMCSF
O94921	CDK14	KIAA0834 PFTK1
P57739	CLDN2	
Q8TF62	ATP8B4	KIAA1939
O95471	CLDN7	CEPTRL2 CPETRL2
P0DMR3	ATXN8OS	KLHL1AS SCA8
A8MUL3	ADARB2-AS1	C10orf109 NCRNA00168
P35869	AHR	BHLHE76
Q96QE3	ATAD5	C17orf41 FRAG1
Q5TC04	ATP1A1-AS1	ATP1A1OS C1orf203
Q00534	CDK6	CDKN6
Q8NEV1	CSNK2A3	CSNK2A1P
Q5VXU3	CHIC1	BRX
Q08828	ADCY1	
Q9UKJ5	CHIC2	BTL
P17544	ATF7	ATFA
O15247	CLIC2	
Q96NY7	CLIC6	CLIC1L
O60266	ADCY3	KIAA0511
Q9H0Y0	ATG10	APG10L
P49759	CLK1	CLK
Q7LBR1	CHMP1B	C18orf2
P49761	CLK3	
Q9UQN3	CHMP2B	
Q9H444	CHMP4B	C20orf178 SHAX1
P59074	CHMP4BP1	
Q10567	AP1B1	ADTB1 BAM22 CLAPB2
Q8TDN7	ACER1	ASAH3
Q5K131	CLLU1	
Q496F6	CD300E	CD300LE CLM2 CMRF35A5 IREM2
Q96PZ7	CSMD1	KIAA1890
Q96FZ7	CHMP6	VPS20
A8K4G0	CD300LB	CD300B CLM7 CMRF35A2 IREM3 LMIR5 TREM5
Q9UGJ0	PRKAG2	
Q9UGI9	PRKAG3	AMPKG3
Q9UNE7	STUB1	CHIP
Q13286	CLN3	BTS
Q9H7C9	AAMDC	C11orf67
Q02338	BDH1	BDH SDR9C1
P61201	COPS2	CSN2 TRIP15
P56377	AP1S2	
Q9UNS2	COPS3	CSN3
P06576	ATP5F1B	ATP5B ATPMB ATPSB
Q96BS2	TESC	CHP3
Q6P575	GUSBP11	
O96017	CHEK2	CDS1 CHK2 RAD53
O94973	AP2A2	ADTAB CLAPA2 HIP9 HYPJ KIAA0899
Q92905	COPS5	CSN5 JAB1
Q7L5N1	COPS6	CSN6 HVIP
Q92989	CLP1	HEAB
A6H8Y1	BDP1	KIAA1241 KIAA1689 TFNR
P43681	CHRNA4	NACRA4
Q9NRG0	CHRAC1	CHRAC15
Q6VUC0	TFAP2E	
Q9H2X0	CHRD	
P02708	CHRNA1	ACHRA CHNRA
P17787	CHRNB2	
P30926	CHRNB4	
A8MW95	BECN2	BECN1L1 BECN1P1
Q13367	AP3B2	
Q9Y2T2	AP3M1	
P59780	AP3S2	
Q6ZTN6	ANKRD13D	
Q8WYN0	ATG4A	APG4A AUTL2
Q6UVK1	CSPG4	MCSP
Q96N21	TEPSIN	C17orf56 ENTHD2
Q8NHS2	GOT1L1	
P39687	ANP32A	C15orf1 LANP MAPM PHAP1
Q86TL0	ATG4D	APG4D AUTL4
P50583	NUDT2	APAH1
P0C6C1	ANKRD34C	
Q9NYM9	BET1L	GS15
P54802	NAGLU	UFHSD1
Q9Y6B7	AP4B1	
O00189	AP4M1	MUARP2
O15155	BET1	
Q6PI77	BHLHB9	KIAA1701
Q9UPM8	AP4E1	
P55061	TMBIM6	BI1 TEGT
Q9GZX3	CHST6	
Q7LGC8	CHST3	
O14727	APAF1	KIAA0413
Q7LFX5	CHST15	BRAG GALNAC4S6ST KIAA0598
P55957	BID	
O00499	BIN1	AMPHL
Q92870	APBB2	FE65L FE65L1
Q5BN46	C9orf116	
A6NHY6	C9orf118	
B1AMM8	LINC00587	C9orf107
Q9Y375	NDUFAF1	CIA30
Q9UPN4	CEP131	AZI1 KIAA1118
Q16570	ACKR1	DARC FY GPD
Q66GS9	CEP135	CEP4 KIAA0635
Q6UXH0	ANGPTL8	C19orf80 RIFL
Q9Y615	ACTL7A	
Q16527	CSRP2	LMO5 SMLIM
Q8TDX5	ACMSD	
O75838	CIB2	KIP2
O60543	CIDEA	
Q96C57	CUSTOS	C12orf43
Q8WYK0	ACOT12	CACH CACH1 STARD15
Q9NUD7	C20orf96	
Q9BQM9	C20orf144	
Q9H4R4	NCOR1P1	C20orf191
O43313	ATMIN	KIAA0431 ZNF822
Q15067	ACOX1	ACOX
Q9HB55	CYP3A43	
Q9Y271	CYSLTR1	CYSLT1
Q9Y6A2	CYP46A1	CYP46
Q8TCG1	CIP2A	KIAA1524
Q9BW61	DDA1	C19orf58 PCIA1
P98187	CYP4F8	
Q9HBI6	CYP4F11	
Q9HCS2	CYP4F12	
Q0VD83	APOBR	APOB48R
Q9Y471	CMAHP	CMAH
P00846	MT-ATP6	ATP6 ATPASE6 MTATP6
Q17RY0	CPEB4	KIAA1673
Q8N4M7	C10orf126	
Q96A22	C11orf52	
Q8IYJ2	C10orf67	LINC01552
Q8N326	C10orf111	
Q07065	CKAP4	
Q9NX76	CMTM6	CKLFSF6
O95639	CPSF4	CPSF30 NAR NEB1
Q86WS4	C12orf40	
P33552	CKS2	
Q8TC84	FANK1	
P23786	CPT2	CPT1
P29973	CNGA1	CNCG CNCG1
Q86T13	CLEC14A	C14orf27 EGFR5
Q14032	BAAT	
Q8WZ19	KCTD13	BACURD1 PDIP1 POLDIP1
Q96F85	CNRIP1	C2orf32
P56945	BCAR1	CAS CASS1 CRKAS
Q01433	AMPD2	
Q86UK0	ABCA12	ABC12
P45844	ABCG1	ABC8 WHT1
Q9H3Z7	ABHD16B	C20orf135
Q9Y264	ANGPT4	ANG3 ANG4
Q8IZY2	ABCA7	
P28330	ACADL	
Q96GR2	ACSBG1	BGM KIAA0631 LPD
Q9NXR5	ANKRD10	
Q9NZU0	FLRT3	KIAA1469
P14138	EDN3	
Q49MI3	CERKL	
Q5VU57	AGBL4	CCP6
Q8NDH2	CCDC168	C13orf40
A0A0U1RR11	CENPVL1	CENPVP1
Q5W0U4	BSPRY	
P00414	MT-CO3	COIII COXIII MTCO3
Q9P0B6	CCDC167	C6orf129
Q96Q07	BTBD9	KIAA1880
Q9UL16	CFAP45	CCDC19 NESG1
H3BN30	C16orf97	
Q5T3Y7	BVES-AS1	C6orf112
Q6NT52	CGB2	
P0DMQ9	C8orf89	
Q8WZ64	ARAP2	CENTD1 KIAA0580
Q7L1Q6	BZW1	BZAP45 KIAA0005
P17655	CAPN2	CANPL2
Q9H672	ASB7	
O75973	C1QL1	C1QRF CRF CTRP14
P53367	ARFIP1	
Q6XD76	ASCL4	BHLHA44 HASH4
Q8N8Q1	CYB561D1	
A7E2U8	C4orf47	
Q9Y4W6	AFG3L2	
P33681	CD80	CD28LG CD28LG1 LAB7
Q12834	CDC20	
